1,Josh Allen,QB,BUF,396.7,396.7,396.7,436,652,4970,32.6,14.2,120,651,6.2,0,0,0,0.0
2,Patrick Mahomes,QB,KC,374.8,374.8,374.8,441,662,4929,33.2,11.4,82,448,4.6,0,0,0,0.0
3,Lamar Jackson,QB,BAL,359.3,359.3,359.3,387,579,3996,27.9,15.2,153,835,7.1,0,0,0,0.0
4,Justin Herbert,QB,LAC,357.3,357.3,357.3,429,635,4914,32.3,14.2,85,406,3.9,0,0,0,0.0
5,Jalen Hurts,QB,PHI,353.6,353.6,353.6,352,520,4082,25.6,13.4,139,757,7.4,0,0,0,0.0
6,Kyler Murray,QB,ARI,350.2,350.2,350.2,412,615,4760,28.0,10.3,111,517,4.2,0,0,0,0.0
7,Matthew Stafford,QB,LAR,343.6,343.6,343.6,432,626,5183,33.8,13.9,55,126,3.3,0,0,0,0.0
8,Tom Brady,QB,TB,339.0,339.0,339.0,441,661,5197,32.2,11.8,50,137,2.8,0,0,0,0.0
9,Trey Lance,QB,SF,338.0,338.0,338.0,383,561,4583,26.6,14.6,121,507,5.5,0,0,0,0.0
10,Joe Burrow,QB,CIN,333.6,333.6,333.6,411,608,5204,30.2,9.2,56,141,2.4,0,0,0,0.0
11,Dak Prescott,QB,DAL,328.8,328.8,328.8,451,664,5079,30.9,13.3,59,152,3.3,0,0,0,0.0
12,Aaron Rodgers,QB,GB,328.2,328.2,328.2,412,622,4638,30.0,4.4,50,156,3.2,0,0,0,0.0
13,Russell Wilson,QB,DEN,313.1,313.1,313.1,388,582,4492,25.8,9.7,77,289,4.2,0,0,0,0.0
14,Kirk Cousins,QB,MIN,310.2,310.2,310.2,413,600,4904,29.6,9.6,46,163,1.0,0,0,0,0.0
15,Derek Carr,QB,LV,302.2,302.2,302.2,435,627,4816,27.7,13.9,61,168,3.0,0,0,0,0.0
16,Justin Fields,QB,CHI,299.1,299.1,299.1,361,562,3779,23.0,14.9,131,706,3.5,0,0,0,0.0
17,Matt Ryan,QB,IND,298.2,298.2,298.2,399,604,4567,26.8,9.6,63,122,3.5,0,0,0,0.0
18,Daniel Jones,QB,NYG,288.7,288.7,288.7,392,592,4210,24.1,15.1,91,416,3.5,0,0,0,0.0
19,Trevor Lawrence,QB,JAC,286.7,286.7,286.7,399,615,4232,21.7,13.8,83,368,4.1,0,0,0,0.0
20,Ryan Tannehill,QB,TEN,283.3,283.3,283.3,370,576,3922,26.4,12.9,63,271,4.1,0,0,0,0.0
21,Jameis Winston,QB,NO,283.0,283.0,283.0,360,545,3903,25.4,12.5,87,438,1.9,0,0,0,0.0
22,Carson Wentz,QB,WAS,281.3,281.3,281.3,380,574,4256,26.5,14.4,67,245,3.0,0,0,0,0.0
23,Zach Wilson,QB,NYJ,273.6,273.6,273.6,395,616,4294,23.0,15.4,55,252,3.0,0,0,0,0.0
24,Tua Tagovailoa,QB,MIA,273.1,273.1,273.1,392,583,3978,27.0,14.5,66,195,3.3,0,0,0,0.0
25,Mac Jones,QB,NE,269.5,269.5,269.5,385,584,4379,25.5,15.3,59,175,1.3,0,0,0,0.0
26,Jared Goff,QB,DET,254.7,254.7,254.7,409,614,4367,24.5,13.5,36,89,0.9,0,0,0,0.0
27,Marcus Mariota,QB,ATL,251.8,251.8,251.8,371,569,4055,21.8,11.9,50,210,2.2,0,0,0,0.0
28,Davis Mills,QB,HOU,240.6,240.6,240.6,405,621,4238,23.2,13.8,30,49,0.7,0,0,0,0.0
29,Geno Smith,QB,SEA,204.6,204.6,204.6,305,457,3356,18.0,11.6,45,175,1.4,0,0,0,0.0
